"Nom_com";"id_insee";"annee";"PO";"LP";"LH";"LC";"Autres";"totalRP";"PO_coll";"LP_coll";"LH_coll";"LC_coll";"Autres_coll";"total_RP_coll";"PO_ind";"LP_ind";"LH_ind";"LC_ind";"Autres_ind";"total_RP_ind";"PO_1_piece";"LP_1_piece";"LH_1_piece";"LC_1_piece";"Autres_1_piece";"total_RP_1_piece";"PO_2_pieces";"LP_2_pieces";"LH_2_pieces";"LC_2_pieces";"Autres_2_pieces";"total_RP_2_pieces";"PO_3_pieces";"LP_3_pieces";"LH_3_pieces";"LC_3_pieces";"Autres_3_pieces";"total_RP_3_pieces";"PO_4_pieces";"LP_4_pieces";"LH_4_pieces";"LC_4_pieces";"Autres_4_pieces";"total_RP_4_pieces";"PO_5_pieces";"LP_5_pieces";"LH_5_pieces";"LC_5_pieces";"Autres_5_pieces";"total_RP_5_pieces";"PO_6et+_pieces";"LP_6et+_pieces";"LH_6et+_pieces";"LC_6et+_pieces";"Autres_6et+_pieces";"total_RP_6et+_pieces";"PO_nbpi_ecart_type";"LP_nbpi_ecart_type";"LH_nbpi_ecart_type";"LC_nbpi_ecart_type";"Autres_nbpi_ecart_type";"total_RP_nbpi_ecart_type";"PO_nbpi_moyenne";"LP_nbpi_moyenne";"LH_nbpi_moyenne";"LC_nbpi_moyenne";"Autres_nbpi_moyenne";"total_RP_nbpi_moyenne";"PO_nbpi_mediane";"LP_nbpi_mediane";"LH_nbpi_mediane";"LC_nbpi_mediane";"Autres_nbpi_mediane";"total_RP_nbpi_mediane";"PO_<9m²";"LP_<9m²";"LH_<9m²";"LC_<9m²";"Autres_<9m²";"total_RP_<9m²";"PO_10-20m²";"LP_10-20m²";"LH_10-20m²";"LC_10-20m²";"Autres_10-20m²";"total_RP_10-20m²";"PO_20-35m²";"LP_20-35m²";"LH_20-35m²";"LC_20-35m²";"Autres_20-35m²";"total_RP_20-35m²";"PO_35-54m²";"LP_35-54m²";"LH_35-54m²";"LC_35-54m²";"Autres_35-54m²";"total_RP_35-54m²";"PO_55-74m²";"LP_55-74m²";"LH_55-74m²";"LC_55-74m²";"Autres_55-74m²";"total_RP_55-74m²";"PO_75-94m²";"LP_75-94m²";"LH_75-94m²";"LC_75-94m²";"Autres_75-94m²";"total_RP_75-94m²";"PO_>94m²";"LP_>94m²";"LH_>94m²";"LC_>94m²";"Autres_>94m²";"total_RP_>94m²";"PO_surfh_ecart_type";"LP_surfh_ecart_type";"LH_surfh_ecart_type";"LC_surfh_ecart_type";"Autres_surfh_ecart_type";"total_RP_surfh_ecart_type";"PO_surfh_moyenne";"LP_surfh_moyenne";"LH_surfh_moyenne";"LC_surfh_moyenne";"Autres_surfh_moyenne";"total_RP_surfh_moyenne";"PO_surfh_mediane";"LP_surfh_mediane";"LH_surfh_mediane";"LC_surfh_mediane";"Autres_surfh_mediane";"total_RP_surfh_mediane";"PO_<1915";"LP_<1915";"LH_<1915";"LC_<1915";"Autres_<1915";"total_RP_<1915";"PO_1915-1948";"LP_1915-1948";"LH_1915-1948";"LC_1915-1948";"Autres_1915-1948";"total_RP_1915-1948";"PO_1949-1967";"LP_1949-1967";"LH_1949-1967";"LC_1949-1967";"Autres_1949-1967";"total_RP_1949-1967";"PO_1968-1974";"LP_1968-1974";"LH_1968-1974";"LC_1968-1974";"Autres_1968-1974";"total_RP_1968-1974";"PO_1975-1981";"LP_1975-1981";"LH_1975-1981";"LC_1975-1981";"Autres_1975-1981";"total_RP_1975-1981";"PO_1982-1989";"LP_1982-1989";"LH_1982-1989";"LC_1982-1989";"Autres_1982-1989";"total_RP_1982-1989";"PO_1990-1998";"LP_1990-1998";"LH_1990-1998";"LC_1990-1998";"Autres_1990-1998";"total_RP_1990-1998";"PO_>1998";"LP_>1998";"LH_>1998";"LC_>1998";"Autres_>1998";"total_RP_>1998";"PO_acons_ecart_type";"LP_acons_ecart_type";"LH_acons_ecart_type";"LC_acons_ecart_type";"Autres_acons_ecart_type";"total_RP_acons_ecart_type";"PO_acons_moyenne";"LP_acons_moyenne";"LH_acons_moyenne";"LC_acons_moyenne";"Autres_acons_moyenne";"total_RP_acons_moyenne";"PO_acons_mediane";"LP_acons_mediane";"LH_acons_mediane";"LC_acons_mediane";"Autres_acons_mediane";"total_RP_acons_mediane";"PO_ss_conf";"LP_ss_conf";"LH_ss_conf";"LC_ss_conf";"Autres_ss_conf";"total_RP_ss_conf";"PO_conf_partiel";"LP_conf_partiel";"LH_conf_partiel";"LC_conf_partiel";"Autres_conf_partiel";"total_RP_conf_partiel";"PO_tout_conf";"LP_tout_conf";"LH_tout_conf";"LC_tout_conf";"Autres_tout_conf";"total_RP_tout_conf";"PO_cc_1-4";"LP_cc_1-4";"LH_cc_1-4";"LC_cc_1-4";"Autres_cc_1-4";"total_RP_cc_1-4";"PO_cc_5";"LP_cc_5";"LH_cc_5";"LC_cc_5";"Autres_cc_5";"total_RP_cc_5";"PO_cc_6";"LP_cc_6";"LH_cc_6";"LC_cc_6";"Autres_cc_6";"total_RP_cc_6";"PO_cc7-8";"LP_cc7-8";"LH_cc7-8";"LC_cc7-8";"Autres_cc7-8";"total_RP_cc7-8"
"Afa";"2A001";2019;"926";"205";"0";"s";"s";1172;"117";"117";"0";"s";"s";"247";"809";"88";"0";"s";"s";"925";"s";"s";"0";"0";"s";"45";"s";"50";"0";"s";"s";"91";"151";"70";"0";"s";"s";"232";"423";"44";"0";"s";"s";"484";"207";"s";"0";"0";"s";"225";"84";"s";"0";"0";"s";"95";"1";"1";".";"s";"s";1;"4";"3";".";"s";"s";"4";"4";"3";".";"s";"s";4;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"45";"0";"s";"s";"87";"74";"s";"0";"s";"s";"134";"169";"s";"0";"s";"s";"217";"625";"52";"0";"s";"s";"695";"38";"37";".";"s";"s";40;"111";"77";".";"s";"s";104;"109";"72";".";"s";"s";101;"39";"16";"0";"s";"s";"66";"s";"s";"0";"0";"s";"35";"s";"s";"0";"0";"0";"21";"56";"s";"0";"0";"s";"73";"94";"s";"0";"0";"s";"124";"161";"s";"0";"0";"s";"184";"153";"s";"0";"0";"s";"172";"381";"94";"0";"s";"s";"487";"28";"37";".";"s";"s";31;"1988";"1984";".";"s";"s";1987;"1994";"1992";".";"s";"s";1993;"27";"s";"0";"0";"s";"38";"547";"113";"0";"s";"s";"687";"352";"s";"0";"0";"s";"447";"154";"s";"0";"0";"s";"166";"691";"165";"0";"s";"s";"886";"63";"s";"0";"s";"s";"90";"18";"s";"0";"0";"s";"30"
"Ajaccio";"2A004";2019;"12607";"9045";"3943";"s";"s";26872;"10910";"8783";"s";"s";"s";"24527";"1697";"262";"s";"s";"s";"2345";"705";"1431";"s";"s";"s";"2402";"1678";"2518";"s";"s";"s";"4841";"3976";"2923";"1512";"s";"s";"8812";"4753";"1837";"1509";"s";"s";"8509";"1119";"271";"s";"s";"s";"1826";"376";"65";"s";"0";"s";"482";"1";"1";"1";"s";"s";1;"3";"3";"3";"s";"s";"3";"3";"3";"3";"s";"s";3;"s";"0";"0";0;0;"s";"s";"s";"s";"0";"s";"s";"411";"1149";"s";"s";"55";"1666";"1428";"2501";"s";"s";"s";"4498";"2914";"2537";"1683";"s";"s";"7480";"3909";"1838";"1546";"s";"s";"7664";"3733";"s";"s";"s";"286";"5092";"35";"26";"18";"s";"s";32;"84";"63";"71";"s";"s";75;"81";"62";"72";"s";"s";73;"981";"906";"s";"s";"130";"2037";"759";"660";"s";"s";"s";"1552";"2595";"2559";"891";"s";"s";"6355";"2156";"1449";"287";"s";"s";"4093";"1867";"1050";"356";"s";"s";"3486";"1076";"337";"s";"0";"s";"1788";"1086";"571";"s";"s";"s";"2097";"1807";"1358";"975";"s";"s";"4280";"42";"46";"26";"s";"s";42;"1968";"1962";"1983";"s";"s";1968;"1974";"1969";"1985";"s";"s";1972;"152";"155";"s";"0";"s";"463";"3781";"3455";"s";"s";"s";"8263";"8674";"5435";"s";"s";"s";"18146";"2902";"1352";"s";"s";"s";"4464";"7280";"4826";"s";"s";"s";"15201";"2116";"2437";"s";"s";"s";"6341";"309";"429";"s";"0";"s";"865"
"Alata";"2A006";2019;"1042";"175";"0";"s";"s";1276;"103";"s";"0";"s";"s";"198";"939";"s";"0";"s";"s";"1078";"s";"s";"0";"0";"s";"43";"56";"s";"0";"0";"s";"112";"154";"s";"0";"0";"s";"225";"490";"42";"0";"s";"s";"545";"216";"s";"0";"0";"s";"242";"s";"s";"0";"0";"s";"109";"1";"1";".";"s";"s";1;"4";"3";".";"s";"s";"4";"4";"3";".";"s";"s";4;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"s";"11";"21";"s";"0";"0";"s";"45";"s";"41";"0";"0";"s";"84";"64";"27";"0";"s";"s";"103";"189";"38";"0";"0";"13";"240";"728";"47";"0";"0";"18";"793";"36";"46";".";"s";"s";40;"111";"78";".";"s";"s";105;"108";"72";".";"s";"s";103;"33";"s";"0";"0";"s";"58";"s";"s";"0";"0";"s";"s";"21";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"60";"164";"22";"0";"0";"12";"198";"248";"s";"0";"0";"s";"290";"126";"s";"0";"0";"s";"152";"385";"68";"0";"0";"16";"469";"28";"47";".";"s";"s";33;"1988";"1979";".";"s";"s";1986;"1989";"1990";".";"s";"s";1989;"19";"s";"0";"0";"s";"33";"665";"104";"0";"s";"s";"804";"358";"s";"0";"0";"s";"439";"s";"s";"0";"0";"s";"146";"829";"s";"0";"0";"s";"1002";"63";"s";"0";"s";"s";"99";"s";"s";"0";"0";"s";"29"
"Albitreccia";"2A008";2019;"475";"165";"0";"s";"s";675;"119";"s";"0";"s";"s";"268";"356";"s";"0";"s";"s";"407";"s";"s";"0";"0";"s";"57";"67";"s";"0";"s";"s";"132";"100";"s";"0";"s";"s";"170";"146";"s";"0";"0";"s";"169";"81";"s";"0";"0";"s";"92";"s";"s";"0";"0";"s";"55";"1";"1";".";"s";"s";1;"4";"3";".";"s";"s";"3";"4";"3";".";"s";"s";3;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"61";"s";"0";"s";"s";"130";"s";"s";"0";"s";"s";"84";"s";"s";"0";"0";"0";"77";"263";"s";"0";"0";"s";"292";"59";"38";".";"s";"s";58;"105";"63";".";"s";"s";93;"103";"52";".";"s";"s";84;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"41";"s";"0";"0";"s";"58";"45";"s";"0";"s";"s";"58";"52";"s";"0";"0";"s";"71";"s";"s";"0";"0";"s";"80";"220";"s";"0";"s";"s";"350";"47";"32";".";"s";"s";45;"1983";"1994";".";"s";"s";1985;"1996";"2004";".";"s";"s";2000;"s";"s";"0";"s";"0";"19";"249";"s";"0";"s";"s";"325";"s";"s";"0";"s";"s";"331";"s";"s";"0";"0";"s";"98";"294";"s";"0";"0";"s";"415";"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"0";"s"
"Altagène";"2A011";2019;"14";"s";"0";"s";"s";25;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"0";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"1";"s";".";"s";"s";1;"4";"s";".";"s";"s";"3";"4";"s";".";"s";"s";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"s";"0";"0";"s";"11";"41";"s";".";"s";"s";40;"94";"s";".";"s";"s";90;"89";"s";".";"s";"s";82;"s";"s";"0";"0";"s";"13";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"69";"s";".";"s";"s";95;"1942";"s";".";"s";"s";1903;"1960";"s";".";"s";"s";1895;"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"s";"s";"0";"0";"0";"s";"0";"s"
"Ambiegna";"2A014";2019;"s";"s";"0";"s";"s";24;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";2;"s";"s";".";"s";"s";"3";"s";"s";".";"s";"s";4;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";30;"s";"s";".";"s";"s";70;"s";"s";".";"s";"s";72;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";93;"s";"s";".";"s";"s";1858;"s";"s";".";"s";"s";1860;"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s"
"Appietto";"2A017";2019;"531";"111";"0";"0";"27";669;"69";"s";"0";"0";"s";"123";"462";"s";"0";"0";"s";"546";"s";"s";"0";"0";"s";"34";"s";"s";"0";"0";"s";"69";"89";"s";"0";"0";"s";"135";"214";"s";"0";"0";"s";"243";"118";"s";"0";"0";"s";"133";"s";"s";"0";"0";"s";"55";"1";"1";".";".";"2";1;"4";"s";".";".";"3";"4";"4";"3";".";".";"3";4;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"s";"s";"22";"s";"0";"0";"s";"s";"s";"25";"0";"0";"s";"49";"43";"s";"0";"0";"s";"79";"98";"s";"0";"0";"s";"120";"340";"s";"0";"0";"s";"380";"44";"33";".";".";"38";44;"108";"73";".";".";"82";101;"106";"65";".";".";"78";100;"38";"s";"0";"0";"s";"57";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"32";"s";"0";"0";"s";"s";"96";"s";"0";"0";"s";"110";"85";"s";"0";"0";"s";"98";"78";"s";"0";"0";"s";"90";"183";"s";"0";"0";"s";"242";"46";"58";".";".";"63";49;"1981";"1975";".";".";"1961";1979;"1989";"1995";".";".";"1979";1989;"24";"s";"0";"0";"s";"36";"307";"s";"0";"0";"s";"383";"200";"s";"0";"0";"s";"250";"s";"0";"0";"0";"0";"s";"402";"s";"0";"0";"s";"500";"s";"s";"0";"0";"s";"69";"s";"s";"0";"0";"s";"43"
"Arbellara";"2A018";2019;"49";"s";"0";"0";"s";70;"s";"s";"0";"0";"s";"25";"s";"s";"0";"0";"s";"45";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"34";"s";"s";"0";"0";"0";"18";"s";"0";"0";"0";"s";"s";"0";"s";"0";"0";"0";"s";"1";"s";".";".";"s";1;"3";"s";".";".";"s";"3";"3";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"18";"s";"s";"0";"0";"s";"22";"31";"s";".";".";"s";35;"84";"s";".";".";"s";80;"84";"s";".";".";"s";77;"s";"s";"0";"0";"0";"26";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"21";"110";"s";".";".";"s";120;"1931";"s";".";".";"s";1912;"1987";"s";".";".";"s";1980;"s";"s";"0";"0";"0";"s";"29";"s";"0";"0";"s";"45";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"28";"s";"0";"0";"s";"39";"s";"s";"0";"0";"0";"20";"s";"s";"0";"0";"0";"s"
"Arbori";"2A019";2019;"s";"s";"0";"s";"s";33;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";".";"s";"s";1;"s";"s";".";"s";"s";"4";"s";"s";".";"s";"s";4;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"12";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";29;"s";"s";".";"s";"s";70;"s";"s";".";"s";"s";70;"s";"s";"0";"0";"s";"20";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";105;"s";"s";".";"s";"s";1872;"s";"s";".";"s";"s";1866;"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"0";"16";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s"
"Argiusta-Moriccio";"2A021";2019;"s";"s";"0";"0";"s";52;"s";"s";"0";"0";"s";"29";"s";"s";"0";"0";"s";"23";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"19";"s";"0";"0";"0";"s";"11";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";1;"s";"s";".";".";"s";"3";"s";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"13";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"11";"s";"s";".";".";"s";31;"s";"s";".";".";"s";65;"s";"s";".";".";"s";67;"s";"s";"0";"0";"s";"26";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";77;"s";"s";".";".";"s";1908;"s";"s";".";".";"s";1920;"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"37";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"19";"s";"s";"0";"0";"s";"17";"s";"s";"0";"0";"0";"s"
"Arro";"2A022";2019;"22";"s";"0";"0";"s";36;"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"s";"21";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"2";"s";".";".";"s";2;"3";"s";".";".";"s";"3";"3";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"14";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"50";"s";".";".";"s";47;"74";"s";".";".";"s";68;"63";"s";".";".";"s";63;"s";"s";"0";"0";"s";"22";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"85";"s";".";".";"s";82;"1909";"s";".";".";"s";1898;"1906";"s";".";".";"s";1886;"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"21";"0";"0";"0";"0";"s";"s"
"Aullène";"2A024";2019;"46";"s";"0";"s";"s";72;"s";"s";"0";"s";"s";"35";"s";"s";"0";"s";"s";"37";"s";"s";"0";"0";"0";"12";"s";"s";"0";"s";"s";"17";"s";"s";"0";"s";"s";"24";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"2";"s";".";"s";"s";2;"3";"s";".";"s";"s";"3";"3";"s";".";"s";"s";3;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"0";"21";"s";"s";"0";"s";"s";"17";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"13";"38";"s";".";"s";"s";36;"66";"s";".";"s";"s";64;"64";"s";".";"s";"s";58;"25";"s";"0";"s";"s";"39";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"11";"56";"s";".";"s";"s";51;"1925";"s";".";"s";"s";1923;"1890";"s";".";"s";"s";1900;"s";"s";"0";"s";"0";"s";"32";"s";"0";"s";"s";"49";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"20";"24";"s";"0";"s";"s";"38";"s";"s";"0";"s";"0";"14"
"Azilone-Ampaza";"2A026";2019;"56";"s";"0";"0";"s";81;"21";"s";"0";"0";"s";"32";"35";"s";"0";"0";"s";"49";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"18";"s";"s";"0";"0";"s";"24";"s";"0";"0";"0";"s";"17";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"2";"s";".";".";"s";2;"3";"s";".";".";"s";"3";"3";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"12";"s";"s";"0";"0";"s";"21";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"28";"54";"s";".";".";"s";49;"86";"s";".";".";"s";78;"79";"s";".";".";"s";65;"18";"s";"0";"0";"s";"35";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"20";"66";"s";".";".";"s";83;"1947";"s";".";".";"s";1925;"1984";"s";".";".";"s";1940;"s";"s";"0";"0";"s";"24";"29";"s";"0";"0";"s";"40";"s";"s";"0";"0";"0";"17";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"29";"s";"s";"0";"0";"s";"27";"s";"s";"0";"0";"s";"s"
"Azzana";"2A027";2019;"s";"s";"0";"0";"s";31;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"13";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";".";".";"s";1;"s";"s";".";".";"s";"3";"s";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";".";".";"s";29;"s";"s";".";".";"s";54;"s";"s";".";".";"s";49;"s";"s";"0";"0";"0";"20";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";80;"s";"s";".";".";"s";1890;"s";"s";".";".";"s";1898;"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"16";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"15"
"Balogna";"2A028";2019;"44";"s";"0";"s";"s";71;"s";"s";"0";"s";"s";"18";"s";"s";"0";"s";"s";"53";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"11";"s";"s";"0";"0";"s";"17";"s";"s";"0";"s";"s";"20";"s";"0";"0";"0";"s";"11";"s";"s";"0";"0";"s";"s";"1";"s";".";"s";"s";1;"3";"s";".";"s";"s";"3";"3";"s";".";"s";"s";3;"0";"0";"0";0;0;"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"19";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"18";"s";"s";"0";"0";"s";"16";"34";"s";".";"s";"s";33;"72";"s";".";"s";"s";70;"75";"s";".";"s";"s";70;"16";"s";"0";"0";"s";"28";"s";"0";"0";"0";"0";"s";"0";"0";"0";"s";"0";"s";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"12";"s";"s";"0";"0";"s";"12";"76";"s";".";"s";"s";81;"1937";"s";".";"s";"s";1930;"1978";"s";".";"s";"s";1975;"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"28";"s";"0";"0";"s";"42";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"25";"s";"0";"s";"s";"43";"s";"s";"0";"0";"0";"s"
